,date,greed_fear_score,Open,High,Low,Close,Volume
0,2021-02-05,0.0693255854800936,36931.546875,38225.90625,36658.761719,38144.308594,58598066402
1,2021-02-06,0.0777133171912831,38138.386719,40846.546875,38138.386719,39266.011719,71326033653
2,2021-02-07,0.0663809055118111,39250.191406,39621.835938,37446.152344,38903.441406,65500641143
3,2021-02-08,0.1128397989772532,38886.828125,46203.929688,38076.324219,46196.464844,101467222687
4,2021-02-09,0.0965138010087116,46184.992188,48003.722656,45166.960938,46481.105469,91809846886
5,2021-02-10,0.0991808798646363,46469.761719,47145.566406,43881.152344,44918.183594,87301089896
6,2021-02-13,0.0985607407407405,47491.203125,48047.746094,46392.28125,47105.515625,70250456155
7,2021-02-14,0.167842335403727,47114.507813,49487.640625,47114.507813,48717.289063,71248675228
8,2021-02-15,0.2252285347593503,48696.535156,48875.570313,46347.476563,47945.058594,77069903166
9,2021-02-18,0.1193604938271607,52140.972656,52474.105469,51015.765625,51679.796875,52054723579
10,2021-02-19,0.0895976856953931,51675.980469,56113.652344,50937.277344,55888.132813,63495496918
11,2021-02-22,0.0808529411764705,57532.738281,57533.390625,48967.566406,54207.320313,92052420332
12,2021-02-28,0.0756915544675641,46194.015625,46716.429688,43241.617188,45137.769531,53443887451
13,2021-03-11,0.0362801843317972,55963.179688,58091.0625,54484.59375,57805.121094,56772343595
14,2021-03-12,0.0681453989293909,57821.21875,57996.621094,55376.648438,57332.089844,55689944702
15,2021-04-05,0.117484979517524,58760.875,59891.296875,57694.824219,59057.878906,60706272115
16,2021-04-06,0.1130745576407509,59171.933594,59479.578125,57646.808594,58192.359375,66058027988
17,2021-04-07,0.1033479821738055,58186.507813,58731.144531,55604.023438,56048.9375,75645303584
18,2021-04-08,0.1059734366648853,56099.914063,58338.738281,55879.085938,58323.953125,53053855641
19,2021-04-09,0.0586242589928057,58326.5625,58937.046875,57807.863281,58245.003906,46655208546
20,2021-04-10,0.0876678384442783,58253.777344,61276.664063,58038.707031,59793.234375,58238470525
21,2021-04-11,0.1169048062775872,59846.230469,60790.554688,59289.796875,60204.964844,46280252580
22,2021-04-12,0.0914968328141225,60175.945313,61253.035156,59589.875,59893.453125,51828688519
23,2021-04-17,0.1255528528528527,61529.921875,62572.175781,60361.351563,60683.820313,66138759198
24,2021-04-18,0.0747944562446897,60701.886719,61057.457031,52829.535156,56216.183594,97468872758
25,2021-04-19,0.0801495023063849,56191.585938,57520.054688,54368.59375,55724.265625,65344865159
26,2021-04-20,0.096527415679125,55681.792969,57062.148438,53448.046875,56473.03125,67849323955
27,2021-04-21,0.0722954463480616,56471.128906,56757.972656,53695.46875,53906.089844,54926612466
28,2021-04-22,0.0875347902783224,53857.105469,55410.230469,50583.8125,51762.273438,74798630778
29,2021-04-23,0.0769676726342714,51739.808594,52120.792969,47714.664063,51093.652344,86668667320
30,2021-04-24,0.0886735323886642,51143.226563,51167.5625,48805.285156,50050.867188,49014494781
31,2021-05-25,0.111597145915091,38795.78125,39776.351563,36581.429688,38402.222656,56211915803
32,2021-05-26,0.0883501224989795,38392.625,40782.078125,37905.835938,39294.199219,51346735160
33,2021-05-27,0.1132480720967379,39316.890625,40379.617188,37247.902344,38436.96875,43210968721
34,2021-05-28,0.1072818654846798,38507.082031,38856.96875,34779.039063,35697.605469,55200191952
35,2021-05-29,0.0740945886005767,35684.15625,37234.5,33693.929688,34616.066406,45231013335
36,2021-06-20,0.1928526725304448,35563.140625,36059.484375,33432.074219,35698.296875,36664034054
37,2021-06-21,0.1621384917687206,35641.144531,35721.640625,31295.935547,31676.693359,52809038594
38,2021-06-22,0.1310622638628396,31622.376953,33292.453125,28893.621094,32505.660156,58964353058
